id,barrio,ubicacion,latitud,longitud,sector,Vereda,fecha de creacion
1,LAS NIEVES,"(-73.359339,5.5381)",5.5381,-73.359339,5,false,11/21/2021 12:00:00 AM
2,LIBERTADOR,"(-73.369682,5.520352)",5.520352,-73.369682,2,false,11/21/2021 12:00:00 AM
3,MALDONADO,"(-73.35743,5.541496)",5.541496,-73.35743,5,false,11/21/2021 12:00:00 AM
5,ANTONIA SANTOS,"(-73.366871,5.512022)",5.512022,-73.366871,1,false,11/21/2021 12:00:00 AM
6,ALTAMIRA,"(-73.369274,5.544016)",5.544016,-73.369274,6,false,11/21/2021 12:00:00 AM
7,DOÑA EVA,"(-73.363717,5.517639)",5.517639,-73.363717,3,false,11/21/2021 12:00:00 AM
8,SAN FRANCISCO,"(-73.367987,5.508135)",5.508135,-73.367987,1,false,11/21/2021 12:00:00 AM
9,LA FUENTE,"(-73.365068,5.547433)",5.547433,-73.365068,6,false,11/21/2021 12:00:00 AM
10,CENTRO,"(-73.361635,5.532325)",5.532325,-73.361635,5,false,11/21/2021 12:00:00 AM
11,EL DORADO,"(-73.349147,5.537694)",5.537694,-73.349147,4,false,11/21/2021 12:00:00 AM
12,CIUDAD JARDIN,"(-73.364339,5.501428)",5.501428,-73.364339,1,false,11/21/2021 12:00:00 AM
13,LAS QUINTAS,"(-73.348289,5.553287)",5.553287,-73.348289,8,false,11/21/2021 12:00:00 AM
14,20 DE JULIO,"(-73.3628207197666,5.54222447829993)",5.542224478,-73.36282072,6,false,11/21/2021 12:00:00 AM
15,BELLO HORIZONTE,"(-73.3675412545564,5.54284753997275)",5.54284754,-73.36754125,6,false,11/21/2021 12:00:00 AM
16,ASIS BOYACENSE,"(-73.3453917962745,5.56810660401974)",5.568106604,-73.3453918,10,false,11/21/2021 12:00:00 AM
17,EL CARMEN,"(-73.3666911957819,5.54169462526539)",5.541694625,-73.3666912,6,false,11/21/2021 12:00:00 AM
18,EL TOPO,"(-73.368029923622,5.53277261566499)",5.532772616,-73.36802992,2,false,11/21/2021 12:00:00 AM
19,EL TRIUNFO,"(-73.3737004782251,5.51260015184319)",5.512600152,-73.37370048,2,false,11/21/2021 12:00:00 AM
20,JORGE ELIECER GAITAN,"(-73.360884,5.544465)",5.544465,-73.360884,6,false,11/21/2021 12:00:00 AM
21,SANTA RITA,"(-73.3485718849044,5.56516550888601)",5.565165509,-73.34857188,10,false,11/21/2021 12:00:00 AM
22,BOLIVAR,"(-73.372149,5.515589)",5.515589,-73.372149,2,false,11/21/2021 12:00:00 AM
23,EL MILAGRO,"(-73.3683574240957,5.53792557872019)",5.537925579,-73.36835742,6,false,11/22/2021 12:00:00 AM
24,ESTANCIA EL ROBLE,"(-73.3544914739319,5.56067295477853)",5.560672955,-73.35449147,7,false,11/22/2021 12:00:00 AM
